term_str,fear_structural,fear_conflict,fear_affective,fear_breakdown
deposition,1,0,0,0
depraved,0,0,1,0
depreciate,0,0,1,0
depreciation,0,0,1,0
depress#1,0,0,1,2
depress#2,0,0,1,1
depress#3,0,0,1,1
depression#1,0,0,1,1
depression#2,0,0,1,0
deprivation,0,0,0,0
deprive,1,2,1,0
depth,0,1,0,0
deputy,1,0,0,0
derby,0,0,0,0
deride,0,1,1,0
derision,0,1,1,0
derisive,0,0,1,0
derive,0,0,0,0
derogatory,1,1,1,0
descend,0,0,0,0
descendant,0,0,0,0
describe,0,0,0,0
description,0,0,0,0
descriptive,0,0,0,0
descry,0,0,0,0
desegregation,1,0,0,0
desert#1,0,0,0,0
desert#2,1,1,1,0
desert#3,0,0,0,0
desert#4,1,0,1,0
desertion,0,0,1,0
deserve,0,0,0,0
deservedly,0,1,0,0
design#1,0,0,0,0
design#2,0,0,0,0
designate#1,1,0,0,0
designate#2,2,1,0,0
designer,0,0,0,0
desirable,0,0,0,0
desire#1,0,0,0,0
desire#2,0,0,0,0
desire#3,0,0,1,0
desirous,0,0,0,0
desk,1,0,0,0
desolate,0,0,1,0
desolation,1,0,1,0
despair#1,0,0,1,2
despair#2,0,0,1,2
desperate,0,0,1,2
desperation,0,0,1,1
despicable,0,0,1,0
despise#1,0,2,2,0
despise#2,0,2,2,1
despite,0,0,0,0
despondent,0,0,0,1
despot,1,0,0,0
despotism,1,0,0,0
dessert,0,0,0,0
destination,0,0,0,0
destine,0,0,0,0
destiny,0,1,0,0
destitute,0,0,1,1
destroy,1,2,1,0
destroyer,2,0,0,0
destruct,0,0,0,0
destruction,1,1,1,1
destructive,2,2,1,0
detach,0,0,0,0
detachment,0,0,1,0
detail,0,0,0,0
detain,1,0,1,0
detect#1,0,0,0,0
detect#2,0,0,0,0
detection,0,0,0,0
detective,1,0,0,0
deter,2,1,1,0
determination,2,1,0,0
determine#1,0,1,0,0
determine#2,1,1,0,0
determine#3,1,1,0,0
deterministic,0,0,0,0
deterred,2,0,0,0
deterrent,2,2,1,0
detest,0,1,2,0
detestable,0,0,1,0
detract,0,0,1,0
detrimental,0,1,2,0
devastate,0,2,1,0
devastation,0,1,1,0
develop,0,1,0,0
development,0,1,0,0
deviant,0,0,0,0
deviate,0,0,1,0
deviation,0,0,1,0
device,0,0,0,0
devil,0,1,1,0
devilish,0,1,1,0
devious,0,1,1,0
devise,0,0,0,0
devoid,0,0,1,0
devolve,1,0,0,0
devote#1,0,0,0,0
devote#2,0,0,0,0
devotion,0,0,0,0
devout,0,1,0,0
dexterity,0,1,0,0
diabolic,0,1,1,0
diabolical,0,1,1,0
diagnosis,0,0,0,0
dialect,0,0,0,0
dialogue,0,0,0,0
diameter,0,0,0,0
dice,0,0,0,0
dictate,1,0,1,0
dictator,2,1,0,0
dictatorial,1,0,1,0
dictatorship,1,1,0,0
diction,0,0,0,0
dictionary,0,0,0,0
did#1,0,0,0,0
die,0,0,0,0
diet#1,0,0,0,0
diet#2,0,0,0,0
differ,2,0,1,0
difference,0,0,0,0
different#1,2,0,0,0
different#2,0,0,0,0
differential,0,0,0,0
differentiate,0,0,0,0
difficult,0,0,1,0
difficulty,0,0,1,0
dig#1,0,0,0,0
dig#2,0,0,0,0
digital,0,0,0,0
dignified,1,1,0,0
dignify,0,0,0,0
dignity,0,1,0,0
dilemma,0,0,1,0
diligence,0,0,0,0
diligent,0,1,0,0
dim#1,0,0,1,0
dim#2,0,0,1,0
dimension,0,0,0,0
diminish,0,0,0,0
din,0,1,1,0
ding,0,0,0,0
dinner,0,0,0,0
dip,0,0,0,0
diplomacy,2,0,0,0
diplomatic,2,0,0,0
dipper,0,0,0,0
dire,0,0,1,0
direct#1,1,1,0,0
direct#2,0,1,0,0
direct#3,0,1,0,0
direction#1,0,0,0,0
direction#2,1,0,0,0
director,2,1,0,0
dirt,0,0,1,0
dirty,0,0,1,0
disability,0,0,0,0
disable,0,0,1,1
disadvantage,0,0,1,0
disadvantageous,0,0,1,0
disagree,2,1,0,0
disagreeable,2,1,1,1
disagreement,2,1,1,0
disappear,0,0,0,0
disappearance,0,0,0,0
disappoint#1,0,0,1,2
disappoint#2,0,0,1,1
disappoint#3,0,0,1,1
disappoint#4,0,0,1,1
disappointment,0,0,1,2
disapproval,0,0,1,0
disapprove,0,1,1,0
disarm,0,0,1,1
disarmament,1,0,0,0
disaster,0,0,1,0
disastrous,0,0,1,0
disavow,0,1,2,0
disavowal,0,1,2,0
disbelief,0,1,1,0
disc,0,0,0,0
discard#1,0,0,0,0
discard#2,0,0,0,0
discern,0,0,0,0
discernible,0,0,0,0
discharge#1,2,1,1,0
discharge#2,1,1,1,0
disciple,0,0,0,0
discipline#1,0,1,0,0
discipline#2,1,1,0,0
discipline#3,0,0,0,0
disclaim,0,0,1,0
disclose#1,0,0,0,0
disclose#2,0,0,0,0
disclosure,0,0,0,0
discomfort,0,0,1,1
disconcerted,0,0,1,1
discontent,0,0,1,1
discontinue#1,0,0,0,0
discontinue#2,0,0,0,0
discord,2,1,1,0
discordant,0,1,1,0
discount#1,0,0,0,0
discount#2,0,0,0,0
discourage#1,0,0,1,2
discourage#2,0,1,1,2
discouragement,0,0,1,0
discourse,0,0,0,0
discover,0,0,0,0
discovery,0,0,0,0
discredit,0,1,1,0
discreet,0,0,0,0
discrepancy,0,0,0,0
discrepant,0,1,1,0
discretion,0,0,0,0
discriminate,0,0,1,0
discrimination,0,1,0,0
discriminatory,0,0,0,0
discuss,0,0,0,0
discussion,0,0,0,0
disdain,1,0,1,0
disease,0,0,1,0
diseased,0,0,1,0
disgrace,0,0,1,0
disguise,0,0,1,0
disgust#1,0,1,2,1
disgust#2,0,1,2,1
disgust#3,0,0,2,1
disgust#4,0,1,2,1
disgust#5,0,0,2,1
dish#1,0,0,0,0
dish#2,0,0,0,0
dishearten,0,0,1,2
dishonest,0,0,1,0
dishonor,0,0,1,1
disillusion,0,0,0,2
disingenuous,0,0,1,0
disinterest,0,0,1,0
dislike#1,0,1,2,0
dislike#2,0,1,2,0
dismal,0,0,1,1
dismay,0,0,1,1
dismiss#1,1,1,1,0
dismiss#2,2,1,1,0
disobedience,0,1,1,0
disobedient,0,1,1,0
disorder,2,0,1,0
disorganized,0,0,1,0
dispel,2,0,1,0
dispensability,0,0,1,0
dispense,1,0,1,0
disperse,0,0,0,0
displace,2,0,1,0
displacement,1,1,0,0
display#1,0,0,0,0
display#2,0,0,0,0
displease,0,0,1,0
displeasure,0,1,2,1
disposal,1,0,1,0
dispose#1,1,2,1,0
dispose#2,1,1,1,0
disposition,0,0,0,0
disproportionate,0,0,1,0
disprove,0,0,1,0
disputable,2,1,1,0
dispute#1,2,1,1,0
dispute#2,2,1,1,0
disregard,0,0,1,0
disrupt,0,1,1,0
disruption,0,1,1,0
disruptive,0,0,0,0
dissatisfaction,0,0,2,1
dissatisfied,0,1,1,2
dissatisfy,0,0,1,1
dissemination,0,0,0,0
dissension,0,0,1,0
dissent,0,1,1,0
dissention,0,1,1,0
dissimilar,0,0,0,0
dissolution,0,0,1,1
dissolve#1,0,1,0,0
dissolve#2,0,1,0,0
distance,0,0,0,0
distant,0,0,0,0
distinct,0,0,0,0
distinction,0,0,0,0
distinctive,0,0,0,0
distingiush#1,0,0,0,0
distingiush#2,0,0,0,0
distinguish#1,1,0,0,0
distinguish#2,0,0,0,0
distinguished,1,1,0,0
distort,0,1,1,0
distortion,0,0,1,0
distract,0,0,1,0
distracting,0,0,1,0
distraction,0,0,1,0
distress#1,0,0,1,1
distress#2,0,0,1,1
distribute,0,0,0,0
distribution,0,0,0,0
distributor,0,0,0,0
district,0,0,0,0
distrust,0,1,1,0
distrustful,0,0,1,1
disturb#1,0,1,1,0
disturb#2,0,0,1,0
disturb#3,0,0,1,1
disturbance,0,1,1,0
disunion,2,0,0,0
disunity,2,0,0,0
ditch#1,0,0,0,0
ditch#2,0,1,0,0
diurnal,0,0,0,0
dive,0,0,0,0
diver,0,0,0,0
diversion,0,0,1,0
diversity,0,0,0,0
divert,0,0,1,0
divide#1,2,1,1,0
divide#2,2,0,1,0
divine#1,0,1,0,0
divine#2,0,1,0,0
divinity,0,1,0,0
division,1,0,1,0
divorce#1,0,1,1,0
divorce#2,0,1,1,0
divorce#3,0,1,1,0
dizzy,0,0,1,1
do#1,0,1,0,0
do#2,0,0,0,0
do#3,0,0,0,0
do#4,0,0,0,0
doctor#1,0,0,0,0
doctor#2,0,0,0,0
doctor#3,0,0,0,0
doctrine,1,0,0,0
document,0,0,0,0
doer,0,0,0,0
dog,0,0,0,0
dogma,1,0,0,0
dogmatism,1,0,0,0
doldrums,0,0,1,1
doll,0,0,0,0
dollar,0,0,0,0
dolly,0,0,0,0
domain,0,0,0,0
domestic,1,0,0,0
dominance,1,0,0,0
dominant,2,1,0,0
dominate#1,2,1,1,0
dominate#2,2,1,1,0
dominate#3,2,1,1,0
domination,2,1,1,0
dominican,0,0,0,0
dominican-republic,0,0,0,0
dominion,1,0,0,0
don't,0,0,0,0
donate,0,0,0,0
donation,0,0,0,0
done,0,1,0,0
doom#1,0,0,1,0
doom#2,0,0,1,0
doomsday,0,0,1,0
door#1,0,0,0,0
door#2,0,0,0,0
doorway,0,0,0,0
dope,0,0,1,0
dote,0,0,0,0
double#1,0,1,0,0
double#2,0,1,0,0
double#3,0,1,1,0
double#4,0,1,1,0
double#5,0,0,0,0
double#6,0,0,0,0
double#7,0,1,0,0
doubt#1,0,0,1,0
doubt#2,0,0,1,0
doubt#3,0,0,0,0
doubt#4,0,0,1,0
doubtful,0,0,1,0
doubtless,0,1,0,0
down,0,0,0,0
downcast,0,0,1,1
downfall,0,0,1,1
downhearted,0,0,1,1
downtown,0,0,0,0
dozen,0,0,0,0
dr,0,0,0,0
dr.,0,0,0,0
drab,0,0,1,0
draft#1,1,0,0,0
draft#2,0,0,0,0
drag,0,1,1,0
drain#1,0,0,0,0
drain#2,0,0,0,0
drama,0,0,0,0
dramatic,0,0,0,0
drank,0,0,0,0
drastic,0,0,0,0
draw#1,0,0,0,0
draw#2,0,0,0,0
draw#3,3,1,0,0
draw#4,0,0,0,0
draw#5,0,0,0,0
drawn#1,0,0,0,0
dread,0,0,1,1
dreadful,0,0,1,0
dream#1,0,0,0,0
dream#2,0,0,0,0
dreamer#1,0,0,0,0
dreamer#2,0,0,0,0
dreamland,0,0,0,0
dreamt,0,0,0,0
dreary,0,0,1,0
dress#1,0,0,0,0
dress#2,0,0,0,0
dress#3,0,0,0,0
dress#4,0,0,0,0
dresser,0,0,0,0
drew#1,0,0,0,0
drift#1,0,0,0,0
drift#2,0,0,0,0
drifter,0,0,0,0
drill#1,0,0,0,0
drill#2,0,0,0,0
drink#1,0,0,0,0
drink#2,0,0,0,0
drink#3,0,0,0,0
drink#4,0,0,0,0
drinker,0,0,0,0
drip#1,0,0,0,0
drip#2,0,0,0,0
drive#1,1,0,0,0
drive#2,1,2,1,0
drive#3,0,0,0,0
drive#4,0,0,0,0
drive#5,1,1,0,0
drive#6,1,0,0,0
drive-in,0,0,0,0
driven#1,0,0,0,0
driver,0,0,0,0
driveway,0,0,0,0
drizzle#1,0,0,0,0
drizzle#2,0,0,0,0
droop,0,0,1,1
drop#1,0,0,1,0
drop#2,0,0,0,0
drop#3,0,0,1,0
drop#4,0,0,1,1
drought,0,0,1,1
drove#1,1,0,0,0
drove#2,0,0,0,0
drown#1,0,0,1,0
drown#2,0,0,1,0
drowsiness,0,0,1,0
drowsy,0,0,1,0
drug,0,0,0,0
drum,0,0,0,0
drunk#1,0,0,1,0
drunk#2,0,0,1,0
drunk#3,0,0,0,0
drunkard,0,0,1,0
drunken,0,0,1,0
dry#1,0,0,0,0
dry#2,0,0,0,0
dryer,0,0,0,0
dual,0,0,0,0
dubious,0,0,1,0
duct,0,0,0,0
due#1,0,0,0,0
due#2,0,0,0,0
due#3,0,0,0,0
due#4,0,0,0,0
due#5,0,0,0,0
due#6,0,0,0,0
dug#1,0,0,0,0
dull,0,0,1,0
dumb,0,0,1,0
dump#1,0,0,2,0
dump#2,0,1,2,0
dunce,0,0,1,0
dungeon,0,0,1,0
duplication,0,0,0,0
durability,0,1,0,0
durable,0,1,0,0
duration,0,0,0,0
during,0,0,0,0
dusk,0,0,0,0
dust,0,0,0,0
dusty,0,0,0,0
duty,0,1,1,0
dwell,0,0,0,0
dwelling,0,0,0,0
dwindle,0,0,1,0
dying#1,0,0,1,0
dying#2,0,0,1,0
dynamic,0,1,0,0
dynamism,0,0,0,0
dynasty,1,0,0,0
each#1,0,0,0,0
each#2,0,0,0,0
each#3,0,0,0,0
eager,0,1,0,0
eagerness,0,0,0,0
eagle,0,0,0,0
ear#1,0,0,0,0
ear#2,0,0,0,0
ear#3,0,0,0,0
earliest,0,0,0,0
early#1,0,0,0,0
early#2,0,0,0,0
early#3,0,0,0,0
earn#1,0,1,0,0
earn#2,0,1,0,0
earn#3,0,1,0,0
earner,0,1,0,0
earnest,0,1,0,0
earnestness,0,0,0,0
earth#1,0,0,0,0
earth#2,0,0,0,0
earth#3,0,0,0,0
earthquake,0,0,0,0
ease#1,0,0,0,0
ease#2,0,0,0,0
ease#3,0,0,0,0
easiest,0,0,0,0
east,0,0,0,0
east-germany,1,0,0,0
east-west,1,0,0,0
easter,0,0,0,0
eastern,0,0,0,0
eastern-europe,1,0,0,0
easterner,0,0,0,0
easy#1,0,0,0,0
easy#2,0,0,0,0
easy#3,0,0,0,0
easy#4,0,0,0,0
eat#1,0,0,0,0
eat#2,0,0,0,0
eaten#1,0,0,0,0
eater,0,0,0,0
eccentric,0,0,1,0
eccentricity,0,0,1,0
ecclesiastical,0,0,0,0
echo#1,0,0,0,0
echo#2,0,0,0,0
economic,0,0,0,0
economical,0,0,0,0
economics,0,0,0,0
economist,0,0,0,0
economize,0,0,0,0
economy,0,0,0,0
ecsc,0,0,0,0
ecstasy,0,0,0,0
ecstatic,0,0,0,0
ecuador,0,0,0,0
ecumenical,0,0,0,0
edc,0,0,0,0
edge#1,0,0,0,0
edge#2,0,0,0,0
edge#3,0,0,0,0
edge#4,0,0,1,1
edible,0,0,0,0
edinburgh,0,0,0,0
edition,0,0,0,0
editor,1,1,0,0
editorial,0,0,0,0
educate,1,1,0,0
educated#1,0,0,0,0
educated#2,1,0,0,0
education,0,0,0,0
educational,0,0,0,0
educator,0,0,0,0
eec,0,0,0,0
effect#1,0,0,0,0
effect#2,2,1,0,0
effect#3,0,0,0,0
effect#4,0,0,0,0
effect#5,0,0,0,0
effect#6,0,0,0,0
effective,0,1,0,0
effectiveness,0,1,0,0
efficacy,0,1,0,0
efficiency,0,1,0,0
efficient,0,1,0,0
effort,0,0,0,0
efta,0,0,0,0
egg,0,0,0,0
ego,0,0,0,0
egotistical,1,1,1,0
egypt,0,0,0,0
eight,0,0,0,0
eighteen,0,0,0,0
eighteenth,0,0,0,0
eighth#1,0,0,0,0
eighth#2,0,0,0,0
eighty,0,0,0,0
either#1,0,0,0,0
either#2,0,0,0,0
either#3,0,0,0,0
either#4,0,0,0,0
el-salvador,0,0,0,0
elaborate,0,0,0,0
elaboration,0,0,0,0
elapse#1,0,0,0,0
elapse#2,0,0,0,0
elastic,0,0,0,0
elasticity,0,0,0,0
elate,0,0,0,0
elder#1,1,1,0,0
elder#2,0,1,0,0
elderly,0,0,0,0
eldest,0,0,0,0
elect#1,2,0,0,0
elect#2,2,0,0,0
election,2,0,0,0
elector,1,0,0,0
electoral,2,0,0,0
electric,0,0,0,0
electrical,0,0,0,0
electricity,0,0,0,0
electron,0,0,0,0
electronic,0,0,0,0
electronics,0,0,0,0
elegance,0,0,0,0
elegant,0,0,0,0
element,0,0,0,0
elemental,0,0,0,0
elementary,0,0,0,0
elephant,0,0,0,0
elevate#1,0,1,0,0
elevate#2,0,1,0,0
elevator,0,0,0,0
eleven,0,0,0,0
eligible,1,0,0,0
eliminate,1,1,1,0
elimination,1,1,1,0
elite,2,0,0,0
elitism,1,0,0,0
elongated,0,0,0,0
eloquent,0,0,0,0
else#1,0,0,0,0
else#2,0,0,0,0
elsewhere,0,0,0,0
emancipation,2,1,0,0
emasculate,0,0,0,0
embark,0,0,0,0
embarrass,0,0,1,0
embarrassed,0,0,0,0
embarrassment,0,0,1,0
embassy,2,0,0,0
embellish,0,0,0,0
embitter,0,0,1,0
embody,0,0,0,0
embrace#1,0,0,0,0
embrace#2,0,0,0,0
emerge#1,1,0,0,0
emerge#2,1,0,0,0
emergency,0,0,1,0
eminence,1,1,0,0
eminent,1,1,0,0
emissary,1,0,0,0
emotion,0,0,0,0
emotional#1,0,0,0,0
emotional#2,0,0,0,0
empathy,0,0,0,0
emperor,2,1,0,0
emphasis,0,1,0,0
emphasise#1,0,0,0,0
emphasize,0,1,0,0
emphatic,0,1,0,0
empire,1,0,0,0
empirical,0,0,0,0
employ,1,1,0,0
employee,0,0,0,0
employer,1,1,0,0
employment,0,0,0,0
empower,2,1,0,0
empowerment,1,1,0,0
empty#1,0,0,1,0
empty#2,0,0,1,0
enable,0,1,0,0
enact,1,1,0,0
enactment,1,1,0,0
enchant#1,0,0,0,0
enchant#2,0,0,0,0
enchantment,0,0,0,0
enclose#1,0,1,0,0
enclose#2,0,1,0,0
encompass,0,1,0,0
encounter#1,1,0,0,0
encounter#2,1,0,0,0
encourage#1,1,0,0,0
encourage#2,0,0,0,0
encouragement,1,0,0,0
encroach,1,0,1,0
encroachment,3,0,1,0
end#1,0,0,0,0
end#2,0,0,0,0
end#3,0,0,0,0
end#4,0,0,0,0
end#5,0,0,0,0
end#6,0,0,0,0
endanger,0,1,1,0
endear,0,0,0,0
endeavor,0,0,0,0
endless,0,1,0,0
endorse,2,1,0,0
endow,0,0,0,0
endowment,0,0,0,0
endurance,0,1,0,0
endure#1,0,1,0,0
endure#2,0,1,0,0
enemy,2,1,1,0
energetic,0,1,0,0
energize,0,1,0,0
energy,0,1,0,0
enforce,2,2,1,0
enforcement,2,1,0,0
enfranchisement,0,0,0,0
engage#1,1,0,0,0
engage#2,0,0,0,0
engage#3,1,0,0,0
engage#4,1,0,0,0
engage#5,0,0,0,0
engagement,1,0,0,0
engine,0,0,0,0
engineer,0,0,0,0
england,0,0,0,0
english,0,0,0,0
engulf,0,2,1,0
enhance,0,1,0,0
enhancement,0,0,0,0
enjoy,0,0,0,0
enjoyable,0,0,0,0
enjoyment,0,0,0,0
enlarge#1,0,0,0,0
enlarge#2,0,0,0,0
enlighten#1,0,0,0,0
enlighten#2,0,0,0,0
enlightenment,0,0,0,0
enlist#1,1,0,0,0
enlist#2,0,0,0,0
enlistment,1,0,0,0
enormous,0,1,0,0
enough#1,0,0,0,0
enough#2,0,0,0,0
enough#3,0,0,0,0
enough#4,0,0,0,0
enrage,0,1,1,0
enrich,0,1,0,0
enrichment,0,1,0,0
enroll,0,0,0,0
enrollment,0,0,0,0
enrolment#1,0,0,0,0
ensemble,0,0,0,0
enslave,1,0,1,0
ensure,1,1,0,0
entail,0,0,0,0
entangle,1,0,1,0
entanglement,0,1,1,0
enter,0,0,0,0
enterprise,0,1,0,0
entertain#1,0,0,0,0
entertain#2,0,0,0,0
entertainment,0,0,0,0
enthusiasm,0,0,0,0
enthusiastic,0,1,0,0
entire,0,1,0,0
entitle,1,1,0,0
entity,0,0,0,0
entrance#1,0,0,0,0
entrance#2,0,0,0,0
entrance#3,0,0,0,0
entreat,0,0,1,0
entrepreneurial,0,0,0,0
entropy,0,0,0,0
entrust,0,0,0,0
entry,0,0,0,0
enunciate,0,0,0,0
envious,0,0,1,0
environment,0,0,0,0
environmental,0,0,0,0
envisage,0,0,0,0
envision,0,0,0,0
envoy,1,0,0,0
envy,0,0,1,0
epidemic,0,0,1,0
epithet,0,1,2,0
equal#1,0,0,0,0
equal#2,0,0,0,0
equal#3,1,1,0,0
equal#4,0,0,0,0
equality,0,0,0,0
equalization,0,0,0,0
equate,0,0,0,0
equation,0,0,0,0
equilibrium,0,1,0,0
equip,0,1,0,0
equipment,0,0,0,0
equitable,0,0,0,0
equity,0,0,0,0
equivalent,0,0,0,0
equivocal,0,0,1,0
era,0,0,0,0
eradicate,1,0,1,0
erase,0,0,1,0
erect#1,0,1,0,0
erect#2,0,1,0,0
erode,0,0,1,0
erosion,0,0,1,0
err,0,0,1,1
erroneous,0,0,1,1
error,0,0,1,0
escape#1,1,2,0,0
escape#2,1,2,0,0
escape#3,0,0,0,0
escort,0,0,0,0
esoteric,1,0,1,0
especially,0,0,0,0
esplanade,0,0,0,0
essay,0,0,0,0
essence,0,1,0,0
essential#1,0,1,0,0
essential#2,0,1,0,0
essential#3,0,0,0,0
establish#1,1,1,0,0
establish#2,0,1,0,0
establishment,1,0,0,0
estate,0,0,0,0
esteem,0,0,0,0
estimate#1,0,0,0,0
estimate#2,0,0,0,0
estrange,2,0,0,0
estranged,0,0,1,1
estrangement,2,0,0,0
etc,0,0,0,0
etc.,0,0,0,0
eternal,0,1,0,0
ethical,0,0,0,0
ethics,0,0,0,0
ethiopia,0,0,0,0
ethnic,0,0,0,0
ethos,0,0,0,0
etiquette,0,0,0,0
etrans#1,0,0,0,0
etrans#2,0,0,0,0
etrans#3,1,0,0,0
etrans#4,0,0,0,0
euratom,0,0,0,0
europe,1,0,0,0
european,1,0,0,0
evacuate,0,0,0,0
evacuation,0,0,0,0
evade,0,0,1,0
evaluate,0,0,0,0
evaluation,0,0,0,0
evangelism,0,0,0,0
evasion,0,0,1,0
even#1,0,0,0,0
even#2,0,0,0,0
even#3,0,1,1,0
even#4,0,0,0,0
even#5,0,0,0,0
evening,0,0,0,0
event#1,0,0,0,0
event#2,0,0,0,0
event#3,0,0,0,0
eventual,0,0,0,0
ever#1,0,0,0,0
ever#2,0,0,0,0
ever#3,0,1,0,0
everlasting,0,1,0,0
every,0,1,0,0
everybody,0,0,0,0
everyday,0,0,0,0
everyone,0,0,0,0
everything,0,0,0,0
everywhere,0,0,0,0
evict,1,0,1,0
evidence#1,0,1,0,0
evidence#2,0,1,0,0
evident,0,0,0,0
evidently,0,0,0,0
evil#1,0,0,1,0
evil#2,0,0,1,0
evoke,0,0,0,0
evolution,0,0,0,0
evolutionary,0,0,0,0
evolve,0,0,0,0
exact#1,0,0,0,0
exact#2,0,0,0,0
exact#3,1,1,0,0
exact#4,0,1,0,0
exaggerate,0,0,0,0
exaggeration,0,0,1,0
exalt,0,0,0,0
exam,0,0,0,0
examination,0,0,0,0
examine,1,0,0,0
examiner,2,0,0,0
example,0,0,0,0
exasperate,0,0,1,0
exasperation,0,0,1,1
exceed,0,1,0,0
excel,0,1,0,0
excellence,0,0,0,0
excellent,0,0,0,0
except,0,0,0,0
exception#1,0,0,0,0
exception#2,2,1,1,0
exceptional,0,0,0,0
excerpt,0,0,0,0
excess,0,0,1,0
excessive,0,0,2,0
exchange#1,0,0,0,0
exchange#2,0,0,0,0
exchequer,0,0,0,0
excite#1,0,0,0,0
excite#2,0,0,0,0
excited#1,0,0,0,0
excited#2,0,0,0,0
excitedness,0,0,0,0
excitement,0,0,0,0
exclaim,0,0,0,0
exclamation,0,0,0,0
exclude,1,2,1,0
exclusion,1,2,1,0
exclusive,0,1,0,0
exclusiveness,0,0,0,0
excommunication,0,1,1,0
excuse#1,0,0,0,0
excuse#2,1,1,0,0
execute,0,1,1,0
execution,0,2,0,0
executive,1,1,0,0
exemplary,0,0,0,0
exempt,0,0,1,0
exercise#1,0,1,0,0
exercise#2,0,1,0,0
exert,0,1,0,0
exertion,0,0,0,0
exhaust,0,0,1,0
exhaustion,0,0,1,1
exhibit#1,0,0,0,0
exhibit#2,0,0,0,0
exhibition,0,0,0,0
exhilaration,0,0,0,0
exigency,0,0,0,0
exile,0,1,1,0
exist#1,0,0,0,0
exist#2,0,0,0,0
existence,0,0,0,0
exit,0,0,1,0
exotic,0,0,0,0
expand#1,0,1,0,0
expand#2,0,1,0,0
expanse,0,1,0,0
expansion,0,1,0,0
expect#1,0,0,0,0
expect#2,0,0,0,0
expectation,0,0,0,0
expediency,0,0,0,0
expedient,0,0,1,0
expedite,0,0,0,0
expedition,0,0,0,0
expel,0,1,1,0
expell,1,0,0,0
expend,0,0,0,0
expenditure,0,0,0,0
expense#1,0,0,1,0
expense#2,0,0,1,0
expensive,0,0,1,0
experience#1,0,1,0,0
experience#2,0,0,0,0
experience#3,0,1,0,0
experiencer,0,0,0,0
experiential,0,0,0,0
experiment#1,0,0,0,0
experiment#2,0,0,0,0
experimental,0,0,0,0
experimenter,0,0,0,0
expert#1,1,1,0,0
expert#2,0,1,0,0
expiration,0,0,0,0
expire,0,0,0,0
explain,0,0,0,0
explanation,0,0,0,0
explicit,0,0,0,0
explode,0,0,1,0
exploit#1,2,2,0,0
exploit#2,2,2,1,0
exploration,0,0,0,0
exploratory,0,0,0,0
explore,0,0,0,0
explorer,0,0,0,0
explosion,0,1,1,0
explosive,1,1,1,0
export,0,0,0,0
exportation,0,0,0,0
exporter,0,0,0,0
expose,0,0,1,0
express,0,0,0,0
expression#1,0,0,0,0
expression#2,0,0,0,0
expressive,0,0,0,0
expulsion,1,0,0,0
exquisite,0,0,0,0
extend#1,0,1,0,0
extend#2,0,0,0,0
extend#3,0,0,0,0
extension,0,1,0,0
extensive,0,1,0,0
extent,0,0,0,0
exterminate,1,0,1,0
extermination,1,0,1,0
external,0,0,0,0
extinct,0,0,1,0
extinguish,0,1,1,0
extol,0,0,0,0
extra,0,0,0,0
extraordinary,0,0,0,0
extrapolate,0,0,0,0
extrapolation,0,0,0,0
extravagance,0,0,0,0
extravagant,0,0,1,0
extreme#1,0,1,0,0
extreme#2,0,1,0,0
extreme#3,0,0,0,0
exuberance,0,0,0,0
exuberant,0,0,0,0
exult,0,0,0,0
exultation,0,0,0,0
eye#1,0,0,0,0
eye#2,0,0,0,0
eye#3,1,0,0,0
eye#4,0,0,0,0
eye#5,0,0,0,0
eye#6,0,0,0,0
eyebrow,0,0,0,0
eyelid,0,0,0,0
fabric,0,0,0,0
fabricate,0,0,1,0
fabrication,0,0,1,0
fabulous,0,0,0,0
face#1,0,0,0,0
face#2,0,1,0,0
face#3,0,0,0,0
face#4,0,0,0,0
face#5,0,0,0,0
facial,0,0,0,0
facilitate,0,1,0,0
facility,0,1,0,0
fact#1,0,0,0,0
fact#2,0,0,0,0
fact#3,0,0,0,0
faction,1,0,0,0
factor,0,0,0,0
factory,0,0,0,0
factual,0,0,0,0
faculty#1,0,0,0,0
faculty#2,0,1,0,0
fade#1,0,0,0,0
fade#2,0,0,0,0
fail#1,0,0,1,1
fail#2,0,0,1,1
fail#3,0,1,1,1
fail#4,0,0,1,0
failure,0,0,1,0
faint,0,0,1,0
fair#1,0,0,0,0
fair#2,0,0,0,0
fair#3,0,0,0,0
fair#4,0,0,0,0
fair#5,0,0,0,0
fairness,0,0,0,0
faith#1,0,0,0,0
faith#2,0,0,0,0
faithful,0,0,0,0
faithfulness,0,0,0,0
fake,0,0,1,0
fall#1,0,0,0,0
fall#2,0,0,0,0
fall#3,0,0,0,0
fall#4,0,0,0,0
fall#5,0,0,0,0
fall#6,0,0,0,0
fall#7,0,0,1,0
fall#8,0,0,0,0
fall#9,0,0,0,0
fallacy,0,0,1,0
fallen#1,0,0,0,0
fallout,0,1,1,0
nan,0,0,1,0
falsehood,0,0,1,0
falter,0,0,1,0
fame,0,0,0,0
familiar,0,0,0,0
familiarity,0,0,0,0
familiarize,0,0,0,0
family,0,0,0,0
famine,0,0,1,1
famished,0,0,1,0
famous,1,0,0,0
fan#1,0,0,0,0
fan#2,0,0,0,0
fan#3,0,0,0,0
fanatic,0,0,1,0
fanatical,0,0,1,0
fancy,0,0,0,0
fantastic,0,0,0,0
fantasy,0,0,0,0
far#1,0,0,0,0
far#2,0,0,0,0
far#3,0,0,0,0
